@@,item,name,party,area,startdate,enddate,gender
---,Q2821497,Abel Chivukuvuku,,,2012,,male
---,Q111975093,Agostinho de Carvalho dos Santos Van-Dúnem,,,2020-11-19,,male
---,Q111975094,Amadeu Timóteo Malheiros de Amorim,,,2019-10-29,,male
---,Q111975096,António Rodrigues Afonso Paulo,,,2021-04-22,,male
---,Q16336949,Bornito de Sousa,,,2012,,male
---,Q111974700,Carlos da Rocha Cruz,,,2017-09-28,,male
---,Q52224001,Cesinanda Narciso,,,2017-09-28,,female
---,Q111975097,Deolinda Tchocondoca Valiangula,,,2021-12-16,,female
---,Q111975098,Djamila Huguette da Silva de Almeida,,,2019-07-18,,female
+++,,DOMINGOS JOÃO FERREIRA PINTO,Q28551,,,,male
---,Q29876705,Domingos João Ferreira Pinto,,,2017-09-28,,male
---,Q111975099,Eduardo Songuile Endome Faustino,,,2021-04-22,,male
---,Q111975100,Eusébio de Brito Teixeira,,,2019-01-23,,male
---,Q111975101,Ginga Afonso Miguel dos Santos,,,2017-09-28,,female
---,Q111954385,Joao Baptista Kussumua,,,2017-09-28,,
---,Q61017245,José Joana André,,,2018-10-12,,male
---,Q111975103,José Maria Ferraz dos Santos,,,2019-01-23,,male
---,Q111975104,João Marcelino Tyipinge,,,2017-09-28,,male
---,Q111975105,Manuel Domingos Taby,,,2020-05-20,,male
---,Q111975106,Manuel Muteba Muxito,,,2021-11-17,,male
---,Q111975107,Manuel Teodoro de Jesus Quarta,,,2017-09-28,,male
---,Q111975108,Maria Augusta Leonel Correia,,,2017-10-27,,female
---,Q111975109,Maria de Lourdes Roque Caposso Fernandes,,,2017-09-28,,female
->,Q111974402->Q941427,MÁRIO PINTO DE ANDRADE,Q28551,,2017-09-28,,male
---,Q111975110,Paulo Horácio de Sequeira E Carvalho,,,2017-09-28,,male
---,Q111954419,Pedro Mutinde,,,2019-10-29,,
---,Q105491346,Pedro Sebastiao,,,2017-09-28,,male
---,Q111974775,Piedoso Chipindo Bonga,,,2017-09-28,,male
---,Q111517205,Pinda Simão,,,2020-11-19,,male
---,Q111975111,Rui Luís Falcão Pinto de Andrade,,,2021-04-22,,male
---,Q111975112,Sofia Porfírio Kassungo Mussonguela,,,2021-04-22,,female
---,Q108391566,Sérgio de Sousa Mendes dos Santos,,,2017-09-28,,male
---,Q111954426,Victoria Francisco Lopes de Barros Neto,,,2017-09-28,,
---,Q111517202,Virgílio Ferreira de Fontes Pereira,,,2018-10-12,,male
---,Q111975113,Álvaro Manuel de Boavida Neto,,,2018-10-12,,male
