item,itemLabel,position,positionLabel,start,end
Q17064757,Abraao Pio dos Santos Gourgel,Q111945546,Minister of Economy,2010-09-27,2017-09-26
,Adao Francisco Correia de Almeida,Q111945576,Minister of Territory and State Reform,2017-09-26,2019-12-31
Q105491239,Adelina Manassas,Q108282421,Minister of Health,1999-01-29,2000-01-28
,Adão do Nascimento,Q111945552,Minister of Higher Education,2012-09-26,2017-09-26
Q4689381,Afonso Pedro Canga,Q111945531,Minister of Agriculture and Rural Development,2008-10-03,2010-02-06
,Albertina Julia Hamukuya,Q108282421,Minister of Health,2000-01-28,2008-10-03
,Alfonso de Sousa dos Anjos,Q54417158,Minister of Foreign Affairs,2008-10-03,2010-11-20
Q4750344,Ana Dias Lourenco,Q111945565,Minister of Planning,1999-01-29,2012-09-26
,Ana Paula Elias,Q65081999,Minister of Education,2019-10-08,2019-12-31
,Ana Paula de Carvalho,Q111945584,Minister of Urban Planning and Housing,2017-09-26,2019-12-31
,Ana Paula do Sacramento Neto,Q109984686,Minister of Youth and Sports,2017-09-26,2019-12-31
,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2012-09-26,2017-09-26
,Angelo Barros da Veiga Tavares,Q54479352,Minister of the Interior,2017-09-26,2019-07-24
,Anibal Joao da Silva Melo,Q111945575,Minister of Social Communications,2017-09-26,2019-12-31
Q60929647,Antonio Domingos Pitra Costa Neto,Q65081689,"Minister of Public Administration, Labour and Social Security",1992-12-02,2017-09-26
Q105491296,Antonio Henriques da Silva,Q111945570,Minister of Public Works and Urban Affairs,1999-01-29,2002-12-05
Q4777533,António Bento Bembe,Q111945556,Minister of Human Rights,2010-02-06,2012-09-26
Q109984874,António Francisco de Assis,Q111945391,Minister of Agriculture and Forestry,2019-07-24,2019-12-31
Q373591,António Paulo Kassoma,Q20706562,Prime Minister,2008-10-03,2010-02-06
Q16190785,Armando Manuel,Q6866123,Minister of Finance,2013-05-07,2016-08-28
Q60918484,Augusto Archer de Sousa Mangueira,Q6866123,Minister of Finance,2016-08-28,2017-09-26
Q60918484,Augusto Archer de Sousa Mangueira,Q6866123,Minister of Finance,2017-09-26,2019-10-08
Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2008-10-03,2017-09-26
Q59156960,Augusto da Silva Tomás,Q109984664,Minister of Transport,2017-09-26,2019-12-31
,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2012-09-26,2017-09-26
,Bernarda Goncalves da Silva,Q111945557,Minister of Industry,2017-09-26,2019-12-31
