item,itemLabel,startDate,endDate
,Saidy Vieira Dias Mingas,1975-11,1977-05
Q5526551,Ismael Gaspar Martins,1977-08,1982-08
,Augusto Teixeira Jorge de Matos,1982-08,1990-06
Q4694559,Aguinaldo Jaime,1990-06,1992-04
,Mário de Alcântara Monteiro,1992-04,1992-12
,Salomão José Luheto Xirimbimbi,1992-12,1993-02
,Emanuel Carneiro,1993-02,1994-03
Q59102933,Álvaro Arnaldo Craveiro,1994-03,1995-05
Q59156960,Augusto da Silva Tomás,1995-05,1996-03
,Mário de Alcântara Monteiro,1996-03,1999-06
,Joaquim D. C. David,1999-06,2000-10
,Júlio Marcelino Vieira Bessa,2000-10,2002-12
Q3186515,José Pedro de Morais,2002-12,2008-10
,Eduardo Leopoldo Severin de Morais,2008-10,2010-02
,Carlos Alberto Lopes,2010-02,2013-05
Q16190785,Armando Manuel,2013-05,2016-09-05
,Archer Mangueira,2016-09-05,2019-10-09
Q96441964,Vera Daves,2019-10-09,
