@@,position,positionlabel,name
->,Q97497044,Governor of Zaire->Governador Provincial do Zaire,Pedro Makita Armando Júlia
->,Q97496869,Governor of Lunda Sul->Governador Provincial da Lunda Sul,Daniel Félix Neto
->,Q97496855,Governor of Lunda Norte->Governador Provincial da Lunda Norte,Ernesto Muangala
->,Q97496672,Governor of Cuanza Sul->Governador Provincial do Cuanza Sul,Job Pedro Castelo Capapinha
->,Q97496560,Governor of Cuanza Norte->Governador Provincial do Cuanza Norte,Adriano Mendes de Carvalho
->,Q97496459,Governor of Cuando Cubango->Governador Provincial do Cuando Cubango,José Martins
->,Q97496450,Governor of Cabinda->Governador Provincial de Cabinda,Marcos Alexandre Nhunga
->,Q97496439,Governor of Bié->Governador Provincial do Bié,Pereira Alfredo
---,Q97497013,Governor of Uíge,""
---,Q97496960,Governor of Namibe,Carlos da Rocha Cruz
---,Q97496930,Governor of Moxico,Goncalves Manuel Muandumba
---,Q97496909,Governor of Malanje,Norberto Fernandes dos Santos
---,Q97496789,Governor of Luanda,Joana Lina Ramos Baptista Cândido
---,Q97496784,Governor of Huíla,Luís da Fonseca Nunes
---,Q97496692,Governor of Huambo,Joana Lina
---,Q97496684,Governor of Cunene,Vígilio da Ressureição Bernardo Adriano Tyova
---,Q97496421,Governor of Benguela,Rui Luís Falcão Pinto de Andrade
---,Q97482096,Governor of Bengo,Mara Baptista Quiosa
+++,"",Governador Provincial do Uíge,JOSÉ CARVALHO DA ROCHA
+++,"",Governador Provincial do Namibe,Augusto Archer de Sousa Mangueira
+++,"",Governador Provincial do Moxico,Gonçalves Manuel Muandumba
+++,"",Governadora Provincial do Huambo,Lotti Nolika
+++,"",Governadora Provincial do Cunene,Gerdina Ulipamue Didalelwa
+++,"",Governadora Provincial do Bengo,Mara Regina da Silva Baptista Domingos Quiosa
+++,"",Governador Provincial de Malanje,"Norberto Fernandes dos Santos "" Kwata Kanawa"""
+++,"",Governadora Provincial de Luanda,Ana Paula Chantre Luna de Carvalho
+++,"",Governador Provincial de Benguela,Luís Manuel da Fonseca Nunes
+++,"",Governador Provincial da Huíla,Nuno Bernabé Mahapi Dala
